psi_delay,psi_error,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,scaled_Delta_i_mean,scaled_epsilon_mean
0.01,0.4,OPTIMAL,0.5094761848449707,0.0,1551.5100358052357,489.17844946108124,36.24696812318932,4.054578529526534,32.19238959366279,41.40857250408616,984.6760457168789,31.52918370954636,2.3362380704406527,2.6689206997359225,63.46565752027706,6,5,27,6,1.7033107422096927,80.86021564069561,0.03185355113457737,22.5,0.03466666666666667
0.01,0.5,OPTIMAL,0.5989317893981934,0.0,926.8278122261839,465.7051908507585,41.17548852309771,2.146541574455224,39.028946948642485,25.953071522342533,393.99406132998513,50.247217952185,4.44262547799431,2.800204221321848,42.50995234849884,6,5,28,3,0.7769836883270373,39.621200163886414,0.037617300757588124,22.5,0.043333333333333335
0.01,0.6,OPTIMAL,0.5523490905761719,0.0,820.5419755873872,401.8671437677747,43.1531593144671,1.90803695507131,41.24512235939579,21.045322141568082,354.4763503635771,48.975817901344655,5.259104421023165,2.564807501347232,43.20027017628492,6,5,19,3,0.5732063152186855,32.72643896301866,0.043826638765512294,22.5,0.05200000000000001
0.01,0.7,OPTIMAL,0.5043041706085205,0.0,697.0752155581935,457.3727783204133,44.31650504230027,1.90803695507131,42.40846808722896,18.428063314814793,176.957868880665,65.61311722353594,6.357492570843042,2.643626240542528,25.38576396507848,6,4,18,1,0.30702683615819215,27.158793105632324,0.04462272537453138,22.5,0.06066666666666667
0.01,0.8,OPTIMAL,0.33851194381713867,0.0,676.7105822118183,477.77138672036614,44.65307243198745,1.90803695507131,42.74503547691614,21.179168268502703,133.10695479096185,70.60202681606923,6.598547976897237,3.129723226623546,19.669701980409968,6,5,26,1,0.2309442776330013,32.79903116154903,0.045242366238865926,22.5,0.06933333333333334
0.01,0.9,OPTIMAL,0.4469258785247803,0.0,621.9062012872901,477.77138672036614,45.07833263948189,1.90803695507131,43.17029568441058,21.356109580313152,77.70037234712885,76.82370520368221,7.2484134337579835,3.433975981604287,12.493905380955528,6,5,26,1,0.13481231233712632,32.74129632080623,0.04402157280977546,22.5,0.078
0.01,1.0,OPTIMAL,0.30214667320251465,0.0,567.0261431459492,477.77138672036614,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,84.25914616028393,8.024955003752618,3.7841947738532147,3.931704062110182,6,5,26,1,0.03868034704125156,32.304482709540714,0.04386935405367639,22.5,0.08666666666666667
0.01,1.1,OPTIMAL,0.376903772354126,0.0,544.9442093373802,477.77138672036614,45.674703594146564,1.90803695507131,43.766666639075254,21.49811902286742,0.0,87.67344959978706,8.381537561374271,3.9450128388386503,0.0,6,5,26,0,0.0,32.13267234178012,0.04380948238349267,22.5,0.09533333333333334
0.01,1.2,OPTIMAL,0.3505880832672119,0.0,530.4731935445624,457.96280234673304,45.424232111755856,1.6695323356873963,43.75469977606846,21.062209707743147,6.023949378330341,86.33099804472249,8.562964663348252,3.970456936194612,1.1355803557346578,6,5,25,1,0.015957446808510693,29.44546866416691,0.05610985260008687,22.5,0.10400000000000002
0.01,1.3,OPTIMAL,0.423184871673584,2.2145322507350357e-05,530.4731935445626,457.96280234673304,45.424232111755856,1.6695323356873963,43.75469977606846,21.06220970774315,6.023949378330487,86.33099804472243,8.562964663348248,3.9704569361946116,1.1355803557346849,6,5,25,1,0.015957446808511078,29.445468664166913,0.056109852600086885,22.5,0.11266666666666669
